Zip_Code,Area,Branch_Assignment,Active_Accounts,Special_Flag_Count
85122,East,Phoenix East,89,89
85254,Central,Phoenix Central,56,56
85308,West,Phoenix West,41,41
85255,Central,Phoenix Central,39,39
85207,East,Phoenix East,34,34
85249,East,Phoenix East,33,33
85339,West,Phoenix West,31,31
85042,Central,Phoenix Central,27,27
85048,East,Phoenix East,27,27
85286,East,Phoenix East,26,26
85018,Central,Phoenix Central,25,25
85283,East,Phoenix East,23,23
85295,East,Phoenix East,23,23
85296,East,Phoenix East,23,23
85028,Central,Phoenix Central,23,23
85259,Central,Phoenix Central,22,22
85234,East,Phoenix East,22,22
85260,Central,Phoenix Central,22,22
85248,East,Phoenix East,22,22
85226,East,Phoenix East,21,21
85022,Central,Phoenix Central,21,21
85331,Central,Phoenix Central,21,21
85213,East,Phoenix East,21,21
85383,West,Phoenix West,21,21
85282,East,Phoenix East,20,20
85020,Central,Phoenix Central,19,19
85021,Central,Phoenix Central,19,19
85284,East,Phoenix East,19,19
85050,Central,Phoenix Central,18,18
85258,Central,Phoenix Central,18,18
85224,East,Phoenix East,17,17
85041,Central,Phoenix Central,17,17
85304,West,Phoenix West,17,17
85142,East,Phoenix East,17,17
85233,East,Phoenix East,16,16
85345,West,Phoenix West,16,16
85053,West,Phoenix West,16,16
85085,Central,Phoenix Central,16,16
85340,West,Phoenix West,15,15
85029,Central,Phoenix Central,15,15
85212,East,Phoenix East,15,15
85338,West,Phoenix West,15,15
85086,Central,Phoenix Central,15,15
85257,Central,Phoenix Central,14,14
85266,Central,Phoenix Central,14,14
85382,West,Phoenix West,14,14
85388,West,Phoenix West,13,13
85310,West,Phoenix West,13,13
85396,West,Phoenix West,13,13
85032,Central,Phoenix Central,13,13
85044,East,Phoenix East,13,13
85262,Central,Phoenix Central,13,13
85395,West,Phoenix West,13,13
85379,West,Phoenix West,12,12
85225,East,Phoenix East,12,12
85203,East,Phoenix East,12,12
85297,East,Phoenix East,12,12
85128,East,Phoenix East,12,12
85138,East,Phoenix East,12,12
85023,Central,Phoenix Central,11,11
85194,East,Phoenix East,11,11
85209,East,Phoenix East,11,11
85123,East,Phoenix East,10,10
85024,Central,Phoenix Central,10,10
85323,West,Phoenix West,10,10
85253,Central,Phoenix Central,10,10
85392,West,Phoenix West,10,10
85014,Central,Phoenix Central,9,9
85381,West,Phoenix West,9,9
85015,Central,Phoenix Central,9,9
85202,East,Phoenix East,9,9
85205,East,Phoenix East,9,9
85298,East,Phoenix East,9,9
85302,West,Phoenix West,9,9
85016,Central,Phoenix Central,9,9
85268,Central,Phoenix Central,8,8
85027,Central,Phoenix Central,8,8
85355,West,Phoenix West,8,8
85051,West,Phoenix West,8,8
85250,Central,Phoenix Central,8,8
85140,East,Phoenix East,8,8
85143,East,Phoenix East,7,7
85281,East,Phoenix East,7,7
85303,West,Phoenix West,7,7
85210,East,Phoenix East,7,7
85251,Central,Phoenix Central,7,7
85215,East,Phoenix East,7,7
85306,West,Phoenix West,7,7
85003,Central,Phoenix Central,6,6
85083,Central,Phoenix Central,6,6
85037,West,Phoenix West,6,6
85012,Central,Phoenix Central,6,6
85139,East,Phoenix East,6,6
85035,Central,Phoenix Central,6,6
85131,East,Phoenix East,6,6
85013,Central,Phoenix Central,5,5
85206,East,Phoenix East,5,5
85204,East,Phoenix East,5,5
85353,West,Phoenix West,5,5
85373,West,Phoenix West,5,5
85326,West,Phoenix West,5,5
85374,West,Phoenix West,5,5
85301,West,Phoenix West,5,5
85045,East,Phoenix East,5,5
85305,West,Phoenix West,5,5
85019,Central,Phoenix Central,4,4
85201,East,Phoenix East,4,4
85008,Central,Phoenix Central,4,4
85193,East,Phoenix East,4,4
85006,Central,Phoenix Central,4,4
85043,Central,Phoenix Central,4,4
85007,Central,Phoenix Central,3,3
85087,Central,Phoenix Central,3,3
85120,East,Phoenix East,3,3
85335,West,Phoenix West,3,3
85054,Central,Phoenix Central,2,2
85378,West,Phoenix West,2,2
85040,Central,Phoenix Central,2,2
85119,East,Phoenix East,2,2
85132,East,Phoenix East,2,2
85387,West,Phoenix West,2,2
85118,East,Phoenix East,2,2
85256,Central,Phoenix Central,1,1
85208,East,Phoenix East,1,1
85009,Central,Phoenix Central,1,1
85033,Central,Phoenix Central,1,1
85017,Central,Phoenix Central,1,1
85031,Central,Phoenix Central,1,1
85351,West,Phoenix West,1,1
85375,West,Phoenix West,1,1
