Zip,New_Territory,Account_Count,ShippingStreet
85003,Central,6,81 W Lewis Ave
85007,Central,3,1746 N 15th Avenue
85009,Central,3,2032 W. Alvarado Rd.
85012,Central,6,120 East Marlette Avenue
85013,Central,5,6846 North 3rd Avenue
85014,Central,9,1226 E. Luke Ave.
85015,Central,9,2228 W Pinchot Drive
85017,Central,1,3044 W Sierra Vista Dr
85018,Central,25,4448 E Camelback Rd Unit 14
85019,Central,3,3832 W Flynn Ln
85020,Central,18,10636 N 11th St
85021,Central,19,7214 N 12th Ave
85022,Central,21,144 E Eugie Ave
85023,Central,11,15015 N. 22nd Ln.
85028,Central,20,2503 E Christy Dr
85029,Central,15,3216 W Becker Ln
85031,Central,1,4807 West Flower Street
85032,Central,13,4440 E. Annette Dr.
85033,Central,1,4055 N 79th Ave
85035,Central,6,2214 N. 58th Dr
85037,Central,6,9406 W Elm St
85040,Central,2,5635 S 5th Street
85043,Central,4,5656 W Pueblo
85051,Central,8,3728 W Barnes Ln
85053,Central,16,14231 N 33rd Dr
85201,Central,4,1813 West Decatur Street
85257,Central,14,7332 E. Vernon Ave
85281,Central,7,1314 S. Polly Ann Dr.
85301,Central,5,5331 West Morten Avenue
85302,Central,9,4804 West Caron Street
85303,Central,7,7323 N. 72nd Dr.
85304,Central,17,6626 W Bloomfield Rd
85305,Central,5,8806 W Carole Ln
85306,Central,7,13849 N 64th Dr
85308,Central,40,17407 N 39th Dr
85310,Central,13,4223 West Whispering Wind Drive
85323,Central,10,11205 W Elm Ln
85326,Central,5,22734 W. Ashleigh Marie Dr.
85338,Central,16,13226 West Beverly Road
85340,Central,15,13655 W Montebello
85345,Central,16,10935 W Golden Lane
85353,Central,5,8818 W. Magnolia St.
85381,Central,9,7133 West Bloomfield Road
85382,Central,14,9453 W. Tonopah Dr
85392,Central,10,10417 W Ashbrook Pl
85395,Central,13,15881 West Berkeley Road
85396,Central,12,29843 W Whitton Ave
85006,East,4,1911 E Willetta St
85008,East,4,2317 North 30th Place
85016,East,9,2910 E Minnezona Ave
85024,East,10,20638 N 16th Way
85027,East,8,21461 N 33rd Dr
85050,East,18,23206 N 41st St
85054,East,2,22807 N 55th Street
85083,East,6,25806 N Lawler Loop
85085,East,16,28511 North 25th Avenue
85086,East,15,41429 N Club Pointe Dr
85087,East,3,4508 West Rushmore Drive
85118,East,2,47882 N. Navidad Crt.
85119,East,2,7064 E Grand View Lane
85120,East,3,277 West 16th Avenue
85140,East,8,38538 North Beverley Avenue
85202,East,9,2231 W Catalina Ave
85203,East,11,1236 East Granada Street
85204,East,5,304 S York Circle
85205,East,9,1033 North Norwalk Circle
85206,East,5,1506 South Alvaro Circle
85207,East,33,1425 North Ananea
85208,East,1,10264 E Diamond Ave
85210,East,7,1845 South Beverly
85213,East,21,3358 East Downing Street
85215,East,7,6709 E Vanguard St
85250,East,8,6508 N 81st Pl
85251,East,7,6709 E. Calle Redondo
85253,East,8,5932 E Beryl Ave
85254,East,56,7125 East Paradise Drive
85255,East,39,11522 E Chama Rd
85256,East,1,2145 N Standage
85258,East,18,8507 E San Marcos Dr
85259,East,21,10505 East Mary Katherine Drive
85260,East,22,9505 E Gary Rd.
85262,East,12,9782 E Troon North Drive
85266,East,14,34301 North 86th Place
85268,East,8,15553 E Thistle Dr
85331,East,21,5519 E Dusty Wren Dr
85335,East,3,12502 W Cherry Hills Dr
85351,East,1,10602 W Salem Dr
85355,East,8,18625 W. Kolina Ln.
85373,East,5,10859 W. Utopia Rd.
85374,East,4,16765 W Windermere Way
85375,East,1,13310 W. Blue Bonnet Dr.
85378,East,2,17813 North 113th Avenue
85379,East,11,10702 N 146th Ave
85383,East,21,24314 N 89th Ave
85387,East,2,18138 West Robin Lane
85388,East,13,18495 W Rimrock St
85041,West,17,7424 S 26th Dr
85042,West,26,1826 E Fawn Dr
85044,West,13,14206 S. 35th Pl.
85045,West,5,15235 S 17th Ave
85048,West,27,4202 E Silverwood Dr
85142,West,17,20154 East Via Del Oro
85209,West,11,9537 E. Monterey Ave
85212,West,15,11251 E. Sheridan Ave.
85224,West,17,893 South Gardner Drive
85225,West,12,441 N. Chase Ct
85226,West,21,6902 W Ivanhoe St
85233,West,16,990 S Pueblo St
85234,West,22,1802 East Park Avenue
85248,West,22,1572 W Mead Court
85249,West,33,783 East Gemini Place
85282,West,20,235 E. Hermosa Dr.
85283,West,23,701 East Brentrup Drive
85284,West,19,1715 E  La Vieve Ln
85286,West,26,2855 E Carob Dr
85295,West,23,3341 E Hampton Lane
85296,West,23,1431 East Century Avenue
85297,West,11,4656 E Ironhorse Rd
85298,West,9,5008 S. Tatum Ln.
85339,West,31,4712 W Allen St
