zip,from,to,accounts
85213,East,Central,21
85208,Central,East,1
85209,Central,East,11
85212,East,East,15
85249,West,East,33
85248,West,East,22
85281,Central,Central,7
85282,East,Central,20
85045,Central,West,5
85392,Central,West,10
85345,East,West,16
85396,Central,West,12
85083,Central,West,6
85050,East,Central,18
85054,Central,Central,2
85225,Central,East,12
85224,East,East,17
85233,East,East,16
85268,Central,East,8
85215,Central,East,7
85641,Tucson,Tucson,2
85706,Tucson,Tucson,1
85658,Tucson,Tucson,5
85653,Tucson,Tucson,1
