Zip Code,Previous Area,New Area,Accounts Moved
85201,West,Central,4
85233,West,East,16
85388,West,Central,13
85016,West,Central,9
85378,West,Central,2
85374,West,Central,4
85003,West,Central,6
85043,West,Central,4
85251,West,Central,7
85305,West,Central,5
85045,West,Central,5
85050,West,East,18
85205,West,Central,9
85355,West,Central,8
85282,West,East,20
85338,West,East,16
85033,West,Central,1
85225,West,Central,12
85023,West,Central,11
85140,West,Central,8
85250,West,Central,8
85256,West,Central,1
85037,West,Central,6
85323,West,Central,10
85281,West,Central,7
85031,West,Central,1
85304,West,East,17
85019,West,Central,3
85142,West,East,17
85087,West,Central,3
85381,West,Central,9
85326,West,Central,5
85119,West,Central,2
85086,West,Central,15
85032,West,Central,13
85268,West,Central,8
85007,West,Central,3
85298,West,Central,9
85302,West,Central,9
85028,West,East,20
85053,West,East,16
85379,West,Central,11
85209,West,Central,11
85306,West,Central,7
85035,West,Central,6
85009,West,Central,3
85022,West,East,21
85351,West,Central,1
85044,West,Central,13
85340,West,East,15
85024,West,Central,10
85017,West,Central,1
85021,West,East,19
85387,West,Central,2
85118,West,Central,2
85202,West,Central,9
85029,West,Central,15
85040,West,Central,2
85310,West,Central,13
85051,West,Central,8
85284,West,East,19
85258,West,East,18
85204,West,Central,5
85259,West,East,21
85083,West,Central,6
85262,West,Central,12
85224,West,East,17
85213,West,East,21
85331,West,East,21
85297,West,Central,11
85006,West,Central,4
85395,West,Central,13
85353,West,Central,5
85015,West,Central,9
85215,West,Central,7
85120,West,Central,3
85373,West,Central,5
85253,West,Central,8
85020,West,East,18
85012,West,Central,6
85008,West,Central,4
85085,West,East,16
85013,West,Central,5
85041,West,East,17
85396,West,Central,12
85212,West,East,15
85345,West,East,16
85203,West,Central,11
85206,West,Central,5
85257,West,Central,14
85392,West,Central,10
85014,West,Central,9
85303,West,Central,7
85375,West,Central,1
85210,West,Central,7
85208,West,Central,1
85301,West,Central,5
85054,West,Central,2
85382,West,Central,14
85226,West,East,21
85266,West,Central,14
85027,West,Central,8
