Customer Number,Name,Street,City,State,Zip,Start Date,End Date,Lifetime (Months) 
A-068327,1111 Brickell-Fountain,1111 Brickell Avenue,Miami,FL,33131,6/6/2025,,5
A-057497,1177 Bay Harbor Island LLC (PAYLINK MONTHLY),1160 Kane Concourse suite 101,Bay Harbor Islands,FL,33154,4/9/2025,,7
A-037948,121 Golden Condo,121 Golden Isle Drive,Hallandale,FL,33009,10/19/2015,,121
A-038044,2925 Indian Creek Drive LLC,2925 Indian Creek Drive,Miami Beach,FL,33140,11/10/2024,,12
A-037842,8067 Apartments LLC,8067 S.W. 73rd Avenue,Miami,FL,33143,5/26/2015,,126
A-037900,9040 Collins Ave LLC,9040 Collins Avenue,Surfside,FL,33154,1/26/2025,,10
A-038501,Acquastrada Condo,"1777 Venice Lane, OFFICE",North Miami,FL,33181,7/5/2002,,280
A-037913,Admiralty Inc.,10150 Collins Avenue,Bal Harbor,FL,33154,2/29/2012,,165
A-066422,AHF- The Village at New River,1700 West Broward Boulevard,Fort Lauderdale,FL,33312,12/20/2024,,11
A-054866,AHF-Broward Village,2275 West State Road 84,Fort Lauderdale,FL,33312,3/29/2023,,31
A-062659,Aidone LLC,1550 Meridian Avenue,Miami Beach,FL,33139,1/12/2025,,10
A-038507,Alameda Gardens Apartments,1965 N.E. 135th Street,Miami,FL,33181,1/18/2022,,46
A-037136,Anchor Bay Club Condominium,300 Three Island Boulevard,Hallandale,FL,33009,7/18/2012,,160
A-038476,Aquachild Swim School,16604 N.E. 2nd Avenue,Miami,FL,33162,1/8/2020,,70
A-038366,Arlen House,300 Bay View Drive,Sunny Isles Beach,FL,33160,4/3/2018,,91
A-046624,Atlantic Towers,18100 Atlantic Boulevard,Sunny Isles Beach,FL,33160,10/30/2023,,25
A-038363,Bay Country Club,17720 North Bay Road,Sunny Isles Beach,FL,33160,8/5/2010,,183
A-051245,Bay Place Condo,2420 Diana Drive,Hallandale Beach,FL,33009,6/13/2023,,29
A-051245,Bay Place Condo,2420 Diana Drive,Hallandale Beach,FL,33009,6/15/2023,,29
A-037836,Bay Plaza Condominium,7125 Bay Drive,Miami Beach,FL,33141,10/26/2017,,97
