Customer_Number__c,Name,ShippingStreet,ShippingCity,ShippingStateCode,ShippingPostalCode,Name,Days_of_service__c,Name,Sum of Total_Monthly_Contract__c,Resi/Comm,Active Contracts As Of
A-037719,Belle Plaza Condominium,20 Island Avenue,Miami Beach,FL,33139,,"Every week on Monday, Tuesday, Thursday, Friday",AFP - Miami Beach,855,Commercial,1
A-042783,Cricket Club Condo,1800 N.E. 114th Street,Miami,FL,33181,,Every  weeks o,AFP - NW Miami,1960,Commercial,1
A-048971,Golden Isles 505 LLC,150 Sunny Isles Boulevard APT 505,Sunny Isles Beach,FL,33160,,Every  weeks o,AFP - Miami Beach,140,Commercial,1
A-052091,Canterbury Apartments Association,2186 Northeast 56th Street,Fort Lauderdale,FL,33308,,Every week on Thursday,AFP - West Broward,239,Commercial,1
A-053085,Towerside Terrace,1319 Northeast 105th Street,Miami Shores,FL,33138,,Every  weeks o,AFP - Downtown Miami,529.5899999999999,Commercial,1
A-055771,Portofino Townhouses,751 Northeast 195th Street,North Miami Beach,FL,33179,,Every  weeks o,AFP - NW Miami,405,Commercial,1
A-055814,Catalina HOA,9861 Southwest 221st Terrace,Cutler Bay,,33190,,Every  weeks o,AFP - SW Miami,,Commercial,1
A-055954,Robert Sharp Towers I & II,103 Northwest 202nd Terrace,Miami,FL,33169,,Every  weeks o,AFP - NW Miami,,Commercial,1
A-067915,Bora Apartments,550 Northwest 51st Avenue,Miami,FL,33126,,"Every week on Monday, Friday",AFP - Downtown Miami,550,Commercial,1
A-069079,"Point East Council, Inc",2909 Point East Drive,Aventura,FL,33160,,"Every week on Monday, Wednesday, Friday",AFP - Miami Beach,950,Commercial,1
A-037217,Brickell 25,145 S.E. 25th Road,Miami,FL,33131,11 AFP Route Honatann B,Every week on Monday,AFP - Downtown Miami,250,Commercial,1
A-037219,Sail Condo Association Inc,170 S.E. 14th Street,Miami,FL,33131,11 AFP Route Honatann B,"Every week on Tuesday, Friday",AFP - Downtown Miami,392,Commercial,1
A-037847,Key Biscayne Ambassador Condo,575 Crandon Boulevard,Key Biscayne,FL,33149,11 AFP Route Honatann B,Every week on Monday,AFP - Key Biscayne,236,Commercial,1
A-068327,1111 Brickell-Fountain,"1111 Brickell Avenue
Suite 2711",Miami,FL,33131,11 AFP Route Honatann B,Every week on Thursday,AFP - Downtown Miami,300,Commercial,1
A-037223,Lofts At Mayfair,3339 Virginia Street,Miami,FL,33133,14 AFP Route Jorge A,Every week on Tuesday,AFP - SW Miami,393,Commercial,1
A-037224,Cloisters on the Bay Condominium,3471 Main Highway,Miami,FL,33133,14 AFP Route Jorge A,"Every week on Tuesday, Friday",AFP - SW Miami,605,Commercial,1
A-037227,Grove Towers,2843 South Bayshore Drive,Coconut Grove,FL,33133,14 AFP Route Jorge A,Every week on Monday,AFP - SW Miami,135,Commercial,1
A-037227,Grove Towers,2843 South Bayshore Drive,Coconut Grove,FL,33133,14 AFP Route Jorge A,"Every week on Tuesday, Friday",AFP - SW Miami,778,Commercial,1
A-037600,Cachicamo Llc,3200 Mary Street,Miami,FL,33133,14 AFP Route Jorge A,Every week on Tuesday,AFP - SW Miami,192,Commercial,1
A-037842,8067 Apartments LLC,8067 S.W. 73rd Avenue,Miami,FL,33143,14 AFP Route Jorge A,Every week on Tuesday,AFP - SW Miami,204,Commercial,1
A-037950,Coral Haven Apartments,10255 Coral Way,Miami,FL,33165,14 AFP Route Jorge A,Every week on Monday,AFP - SW Miami,392,Commercial,1
A-038484,Birchwood The Apartments,8940 N.W. 8th Street,Miami,FL,33172,14 AFP Route Jorge A,Every week on Monday,AFP - Downtown Miami,617,Commercial,1
A-038485,Groves at Sunset,8818 S.W. 72nd Street,Miami,FL,33173,14 AFP Route Jorge A,Every week on Monday,AFP - SW Miami,375,Commercial,1
A-038487,Casa Granada Condo Association (PP Speak with Diana before any new work),8701 S.W. 141st Street,Miami,FL,33176,14 AFP Route Jorge A,Every week on Monday,AFP - SW Miami,302,Commercial,1
A-067370,Gleneagles Apartments,17680 Northwest 67th Avenue,Miami Gardens,FL,33015,14 AFP Route Jorge A,"Every week on Monday, Wednesday, Friday",AFP - NW Miami,1400,Commercial,1
A-067479,Blume Coral Gables,1501 Southwest 37th Avenue,Miami,FL,33145,14 AFP Route Jorge A,"Every week on Monday, Friday",AFP - SW Miami,600,Commercial,1
A-069107,Grove Loft Condominium Inc,3062 Bird Avenue,Miami,FL,33133,14 AFP Route Jorge A,Every week on Tuesday,AFP - SW Miami,250,Commercial,1
A-036768,Coinco Investment Co Inc,1755 N.E. 164th Street,North Miami Beach,FL,33162,15 AFP Route Kymani P,"Every week on Tuesday, Friday",AFP - NW Miami,403.55,Commercial,1
A-037608,Miami Jewish Home & Hospital,5200 N.E. 2nd Avenue,Miami,FL,33137,15 AFP Route Kymani P,Every week on Monday,AFP - Downtown Miami,605,Commercial,1
A-037608,Miami Jewish Home & Hospital,5200 N.E. 2nd Avenue,Miami,FL,33137,15 AFP Route Kymani P,"Every week on Monday, Wednesday, Friday",AFP - Downtown Miami,287,Commercial,1
A-038372,Woodlands Condominiums,14351 Memorial Highway,Miami,FL,33161,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,405,Commercial,1
A-038374,Windward I,1225 N.E. 124th Street,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,195,Commercial,1
A-038377,Wendover Condo,13101 Memorial Highway Apt 105,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,221,Commercial,1
A-038475,Ola Condo,15201 N.E. 6th Avenue,North Miami,FL,33162,15 AFP Route Kymani P,Every week on Tuesday,AFP - NW Miami,230,Commercial,1
A-038476,Aquachild Swim School,16604 N.E. 2nd Avenue,Miami,FL,33162,15 AFP Route Kymani P,Every week on Tuesday,AFP - NW Miami,249,Commercial,1
A-038477,Three Seasons Condo,16400 N.E. 17th Avenue,North Miami Beach,FL,33162,15 AFP Route Kymani P,Every week on Monday,AFP - NW Miami,300,Commercial,1
A-038482,Lake Terraces Apartments - (Eff. 1/1/24 Balancing Included),45 N.W. 203rd Terrace,Miami,FL,33169,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,433,Commercial,1
A-038499,Mariner Bay Club,12000 North Bayshore Drive,North Miami,FL,33181,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,388,Commercial,1
A-038502,Keystone Bay Condo Assoc Inc.,2640 N.E. 135th Street,North Miami,FL,33181,15 AFP Route Kymani P,Every week on Monday,AFP - NW Miami,320,Commercial,1
A-039246,Mediterranea Home Owners Association,355 Ives Dairy Road,Miami,FL,33179,15 AFP Route Kymani P,"Every week on Tuesday, Friday",AFP - NW Miami,700,Commercial,1
A-046880,Woodside Apartments Association,16950 West Dixie Highway,North Miami Beach,FL,33160,15 AFP Route Kymani P,"Every week on Tuesday, Friday",AFP - NW Miami,437,Commercial,1
A-061995,Victory Gardens,650 Northeast 149th Street,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Monday, Thursday",AFP - NW Miami,448,Commercial,1
A-062369,Three Horizons Recreation Center,1465 Northeast 123rd Street,North Miami,FL,33161,15 AFP Route Kymani P,"Every week on Tuesday, Friday",AFP - NW Miami,539,Commercial,1
