ZipCode,Area,ActiveCount,TerminatedCount,TotalHistorical,ChurnRate
85003,Central,6,28,34,82.35
85006,Central,4,17,21,80.95
85007,Central,3,56,59,94.92
85008,Central,4,30,34,88.24
85009,Central,3,17,20,85.0
85012,Central,6,35,41,85.37
85013,Central,5,43,48,89.58
85014,Central,9,39,48,81.25
85015,Central,9,39,48,81.25
85016,Central,9,104,113,92.04
85017,Central,1,7,8,87.5
85018,Central,25,153,178,85.96
85019,Central,3,15,18,83.33
85020,West,18,93,111,83.78
85021,West,19,100,119,84.03
85022,West,21,100,121,82.64
85023,West,11,94,105,89.52
85024,Central,10,67,77,87.01
85027,Central,8,62,70,88.57
85028,West,20,133,153,86.93
85029,West,15,96,111,86.49
85031,Central,1,9,10,90.0
85032,West,13,118,131,90.08
85033,Central,1,30,31,96.77
85035,Central,6,22,28,78.57
85037,Central,6,50,56,89.29
85040,Central,2,21,23,91.3
85041,Central,17,142,159,89.31
85042,Central,26,125,151,82.78
85043,Central,4,44,48,91.67
85044,Central,13,87,100,87.0
85045,West,5,44,49,89.8
85048,East,27,121,148,81.76
85050,Central,18,107,125,85.6
85051,Central,8,52,60,86.67
85053,West,16,74,90,82.22
85054,Central,2,15,17,88.24
85083,West,6,85,91,93.41
85085,West,16,68,84,80.95
85086,West,15,88,103,85.44
85087,West,3,11,14,78.57
85118,East,2,27,29,93.1
85119,East,2,20,22,90.91
85120,East,3,4,7,57.14
85122,East,89,333,422,78.91
85123,East,10,33,43,76.74
85128,East,12,37,49,75.51
85131,East,6,10,16,62.5
85132,East,2,21,23,91.3
85138,East,12,74,86,86.05
85139,East,6,13,19,68.42
85140,East,8,28,36,77.78
85142,East,17,100,117,85.47
85143,East,7,51,58,87.93
85193,East,4,6,10,60.0
85194,East,11,40,51,78.43
85201,Central,4,27,31,87.1
85202,Central,9,45,54,83.33
85203,Central,11,54,65,83.08
85204,Central,5,24,29,82.76
85205,Central,9,43,52,82.69
85206,Central,5,11,16,68.75
85207,East,33,117,150,78.0
85208,East,1,32,33,96.97
85209,East,11,57,68,83.82
85210,Central,7,47,54,87.04
85212,East,15,67,82,81.71
85213,Central,21,64,85,75.29
85215,East,7,40,47,85.11
85224,East,17,87,104,83.65
85225,East,12,84,96,87.5
85226,East,21,103,124,83.06
85233,East,16,80,96,83.33
85234,East,22,91,113,80.53
85248,East,22,83,105,79.05
85249,East,33,129,162,79.63
85250,Central,8,44,52,84.62
85251,Central,7,46,53,86.79
85253,Central,8,91,99,91.92
85254,Central,56,221,277,79.78
85255,Central,39,179,218,82.11
85256,Central,1,1,2,50.0
85257,Central,14,81,95,85.26
85258,Central,18,81,99,81.82
85259,Central,21,148,169,87.57
85260,Central,22,122,144,84.72
85262,Central,12,77,89,86.52
85266,Central,14,60,74,81.08
85268,East,8,52,60,86.67
85281,Central,7,24,31,77.42
85282,Central,20,104,124,83.87
85283,East,23,98,121,80.99
85284,East,19,118,137,86.13
85286,East,26,87,113,76.99
85295,East,23,60,83,72.29
85296,East,23,98,121,80.99
85297,East,11,68,79,86.08
85298,East,9,58,67,86.57
85301,West,5,35,40,87.5
85302,West,9,93,102,91.18
85303,West,7,41,48,85.42
85304,West,17,97,114,85.09
85305,West,5,27,32,84.38
85306,West,7,37,44,84.09
85308,West,40,267,307,86.97
85310,West,13,72,85,84.71
85323,West,10,52,62,83.87
85326,West,5,60,65,92.31
85331,West,21,148,169,87.57
85335,West,3,22,25,88.0
85338,West,16,116,132,87.88
85339,West,31,195,226,86.28
85340,West,15,78,93,83.87
85345,West,16,113,129,87.6
85351,West,1,17,18,94.44
85353,West,5,64,69,92.75
85355,West,8,24,32,75.0
85373,West,5,25,30,83.33
85374,West,4,58,62,93.55
85375,West,1,24,25,96.0
85378,West,2,8,10,80.0
85379,West,11,118,129,91.47
85381,West,9,75,84,89.29
85382,West,14,100,114,87.72
85383,West,21,170,191,89.01
85387,West,2,18,20,90.0
85388,West,13,69,82,84.15
85392,West,10,124,134,92.54
85395,West,13,92,105,87.62
85396,West,12,56,68,82.35
85641,Tucson,2,11,13,84.62
85653,Tucson,1,5,6,83.33
85658,Tucson,5,8,13,61.54
85704,Tucson,3,11,14,78.57
85705,Tucson,1,1,2,50.0
85706,Tucson,1,1,2,50.0
85710,Tucson,2,11,13,84.62
85711,Tucson,1,3,4,75.0
85712,Tucson,2,2,4,50.0
85715,Tucson,2,7,9,77.78
85716,Tucson,1,4,5,80.0
85718,Tucson,6,17,23,73.91
85730,Tucson,4,8,12,66.67
85737,Tucson,3,19,22,86.36
85739,Tucson,3,8,11,72.73
85741,Tucson,7,10,17,58.82
85742,Tucson,2,17,19,89.47
85743,Tucson,1,9,10,90.0
85745,Tucson,1,15,16,93.75
85746,Tucson,2,8,10,80.0
85747,Tucson,1,7,8,87.5
85749,Tucson,3,18,21,85.71
85750,Tucson,9,10,19,52.63
85755,Tucson,2,9,11,81.82
85756,Tucson,4,5,9,55.56
85757,Tucson,4,2,6,33.33
