ProposedBranch,CurrentActiveAccounts,TerminatedAccounts,LostRevenue,MarketPotential,TotalHistorical,ChurnRate,MarketPenetration,AvgLostRevenue
Branch 4 - Central PHX/South,174,843,1425985.75,28591,1017,82.89,0.61,1691.56
Branch 8 - Tempe/Chandler West,165,611,1030479.03,23191,776,78.74,0.71,1686.55
Branch 1 - North Scottsdale,131,557,947550.19,22970,688,80.96,0.57,1701.17
Branch 6 - Glendale/West PHX,128,600,974788.55,21114,728,82.42,0.61,1624.65
Branch 9 - Chandler/Gilbert South,127,418,691462.0,24181,545,76.7,0.53,1654.22
Branch 10 - Mesa Central/Gilbert East,116,412,667412.09,25488,528,78.03,0.46,1619.93
Branch 7 - Southwest Valley/Laveen,112,570,919121.81,18485,682,83.58,0.61,1612.49
Branch 3 - North Phoenix I-17,89,387,654388.35,18769,476,81.3,0.47,1690.93
Branch 5 - Peoria/Surprise North,84,531,869245.92,18582,615,86.34,0.45,1637.0
Branch 2 - Central Scottsdale/PV,77,402,701198.28,17675,479,83.92,0.44,1744.27
Branch 11 - Mesa East/Pinal Outliers,72,243,409685.74,17589,315,77.14,0.41,1685.95
