Metric,Value
Total Current Accounts (Assigned),"1,481"
Total Terminated Accounts (Assigned),"8,556"
Overall Retention Rate (%),14.75%
Total Lost Annual Revenue,"$11,505,900"
Number of Proposed Branches,11
Unassigned ZIP Codes,22 (19 with recommendations)
Unassigned Accounts,"1,354"
Total Market Potential (Pools),"236,635"
Current Market Penetration (%),0.63%
Average Retention by Branch (%),14.89%
Best Retention Branch,Chandler/Gilbert South (19.10%)
Worst Retention Branch,Peoria/Surprise North (11.01%)
Recommended Phase 1 Branches,"Central PHX, Tempe, Glendale, N Scottsdale"
