Zip,Account_Count
85254,56
85308,40
85255,39
85249,33
85207,33
85339,31
85048,27
85286,26
85042,26
85018,25
85295,23
85283,23
85296,23
85260,22
85234,22
85248,22
85331,21
85383,21
85226,21
85213,21
85259,21
85022,21
85282,20
85028,20
85284,19
85021,19
85020,18
85258,18
85050,18
85304,17
85224,17
85142,17
85041,17
85233,16
85085,16
85345,16
85338,16
85053,16
85340,15
85029,15
85086,15
85212,15
85257,14
85266,14
85382,14
85032,13
85388,13
85395,13
85310,13
85044,13
85396,12
85225,12
85262,12
85203,11
85209,11
85379,11
85023,11
85297,11
85323,10
85392,10
85024,10
85205,9
85015,9
85016,9
85302,9
85298,9
85381,9
85202,9
85014,9
85250,8
85027,8
85140,8
85253,8
85051,8
85355,8
85268,8
85306,7
85303,7
85251,7
85281,7
85215,7
85210,7
85083,6
85035,6
85012,6
85003,6
85037,6
85353,5
85326,5
85013,5
85305,5
85206,5
85301,5
85204,5
85045,5
85373,5
85043,4
85008,4
85374,4
85201,4
85006,4
85335,3
85007,3
85009,3
85019,3
85120,3
85087,3
85378,2
85054,2
85118,2
85119,2
85040,2
85387,2
85351,1
85375,1
85256,1
85208,1
85031,1
85033,1
85017,1
