ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,ChurnRate,AvgLostRevenuePerAccount,ProposedBranch,ActiveScore,ChurnScore,TerminatedScore,PriorityScore
85308,41.0,216,348359.86,257.0,84.05,1612.78,Branch 6 - Glendale/West PHX,73.21,84.05,100.0,84.5
85254,56.0,156,261927.14,212.0,73.58,1679.02,,100.0,73.58,72.22,83.74
85255,39.0,136,233251.35,175.0,77.71,1715.08,Branch 1 - North Scottsdale,69.64,77.71,62.96,70.06
85339,31.0,152,245599.88,183.0,83.06,1615.79,Branch 7 - Southwest Valley/Laveen,55.36,83.06,70.37,68.17
85249,33.0,112,182517.6,145.0,77.24,1629.62,Branch 9 - Chandler/Gilbert South,58.93,77.24,51.85,62.3
85018,25.0,119,205700.09,144.0,82.64,1728.57,Branch 2 - Central Scottsdale/PV,44.64,82.64,55.09,59.18
85207,34.0,85,143486.38,119.0,71.43,1688.08,Branch 11 - Mesa East/Pinal Outliers,60.71,71.43,39.35,57.52
85383,21.0,120,198156.12,141.0,85.11,1651.3,Branch 5 - Peoria/Surprise North,37.5,85.11,55.56,57.2
85331,21.0,116,195662.14,137.0,84.67,1686.74,Branch 1 - North Scottsdale,37.5,84.67,53.7,56.51
85042,27.0,97,168389.52,124.0,78.23,1735.97,Branch 4 - Central PHX/South,48.21,78.23,44.91,56.23
85259,22.0,104,183437.94,126.0,82.54,1763.83,Branch 1 - North Scottsdale,39.29,82.54,48.15,54.92
85048,27.0,88,148070.56,115.0,76.52,1682.62,Branch 8 - Tempe/Chandler West,48.21,76.52,40.74,54.46
85041,17.0,114,196186.04,131.0,87.02,1720.93,Branch 4 - Central PHX/South,30.36,87.02,52.78,54.08
85028,23.0,95,164071.66,118.0,80.51,1727.07,,41.07,80.51,43.98,53.78
85260,22.0,92,150136.32,114.0,80.7,1631.92,Branch 1 - North Scottsdale,39.29,80.7,42.59,52.7
85284,19.0,92,159130.66,111.0,82.88,1729.68,Branch 8 - Tempe/Chandler West,33.93,82.88,42.59,51.21
85282,20.0,85,142313.8,105.0,80.95,1674.28,Branch 8 - Tempe/Chandler West,35.71,80.95,39.35,50.37
85226,21.0,82,143627.76,103.0,79.61,1751.56,Branch 9 - Chandler/Gilbert South,37.5,79.61,37.96,50.27
85283,23.0,77,132957.78,100.0,77.0,1726.72,Branch 8 - Tempe/Chandler West,41.07,77.0,35.65,50.22
85345,16.0,92,159608.84,108.0,85.19,1734.88,Branch 5 - Peoria/Surprise North,28.57,85.19,42.59,49.76
85286,26.0,68,113241.98,94.0,72.34,1665.32,Branch 8 - Tempe/Chandler West,46.43,72.34,31.48,49.72
85296,23.0,73,113639.18,96.0,76.04,1556.7,Branch 10 - Mesa Central/Gilbert East,41.07,76.04,33.8,49.38
85020,19.0,75,126634.25,94.0,79.79,1688.46,Branch 4 - Central PHX/South,33.93,79.79,34.72,47.92
85021,19.0,75,125490.95,94.0,79.79,1673.21,Branch 4 - Central PHX/South,33.93,79.79,34.72,47.92
85379,12.0,92,145411.2,104.0,88.46,1580.56,Branch 5 - Peoria/Surprise North,21.43,88.46,42.59,47.89
85050,18.0,76,129636.04,94.0,80.85,1705.74,Branch 3 - North Phoenix I-17,32.14,80.85,35.19,47.67
85032,13.0,88,144047.15,101.0,87.13,1636.9,,23.21,87.13,40.74,47.64
85022,21.0,68,116531.95,89.0,76.4,1713.71,Branch 3 - North Phoenix I-17,37.5,76.4,31.48,47.36
85248,22.0,65,108436.36,87.0,74.71,1668.25,,39.29,74.71,30.09,47.16
85392,10.0,90,141202.06,100.0,90.0,1568.91,Branch 7 - Southwest Valley/Laveen,17.86,90.0,41.67,46.64
85338,15.0,77,126042.36,92.0,83.7,1636.91,Branch 7 - Southwest Valley/Laveen,26.79,83.7,35.65,46.52
85234,22.0,62,97728.54,84.0,73.81,1576.27,Branch 9 - Chandler/Gilbert South,39.29,73.81,28.7,46.47
85304,17.0,72,119626.31999999999,89.0,80.9,1661.48,Branch 6 - Glendale/West PHX,30.36,80.9,33.33,46.41
85029,15.0,73,120080.38,88.0,82.95,1644.94,Branch 4 - Central PHX/South,26.79,82.95,33.8,45.74
85258,18.0,66,108859.56,84.0,78.57,1649.39,Branch 2 - Central Scottsdale/PV,32.14,78.57,30.56,45.6
85224,17.0,67,109730.22,84.0,79.76,1637.76,Branch 8 - Tempe/Chandler West,30.36,79.76,31.02,45.38
85142,17.0,66,109581.26,83.0,79.52,1660.32,Branch 11 - Mesa East/Pinal Outliers,30.36,79.52,30.56,45.17
85023,11.0,78,125507.65,89.0,87.64,1609.07,Branch 4 - Central PHX/South,19.64,87.64,36.11,44.98
