FIPS,County,State,Pool_Count
78327,48001  Anderson,TX,584
48003,Andrews,TX,192
48005,Angelina,TX,1136
48007,Aransas,TX,307
48009,Archer,TX,168
48011,Armstrong,TX,19
48013,Atascosa,TX,479
48015,Austin,TX,544
48017,Bailey,TX,61
48019,Bandera,TX,335
48021,Bastrop,TX,1350
48023,Baylor,TX,41
48025,Bee,TX,235
48027,Bell,TX,5549
48029,Bexar,TX,31830
48031,Blanco,TX,115
48033,Borden,TX,7
48035,Bosque,TX,244
48037,Bowie,TX,1694
48039,Brazoria,TX,7298
48041,Brazos,TX,1875
48043,Brewster,TX,50
48045,Briscoe,TX,13
48047,Brooks,TX,70
48049,Brown,TX,734
48051,Burleson,TX,172
48053,Burnet,TX,645
48055,Caldwell,TX,607
48057,Calhoun,TX,270
48059,Callahan,TX,335
48061,Cameron,TX,3553
48063,Camp,TX,232
48065,Carson,TX,47
48067,Cass,TX,438
48069,Castro,TX,12
48071,Chambers,TX,460
48073,Cherokee,TX,481
48075,Childress,TX,67
48077,Clay,TX,182
48079,Cochran,TX,30
48081,Coke,TX,37
48083,Coleman,TX,117
48085,Collin,TX,45973
48087,Collingsworth,TX,42
48089,Colorado,TX,309
48091,Comal,TX,1991
48093,Comanche,TX,177
48095,Concho,TX,26
48097,Cooke,TX,863
48099,Coryell,TX,1102
48101,Cottle,TX,10
48103,Crane,TX,37
48105,Crockett,TX,21
48107,Crosby,TX,29
48109,Culberson,TX,6
48111,Dallam,TX,67
48113,Dallas,TX,60398
48115,Dawson,TX,91
48117,Deaf Smith,TX,117
48119,Delta,TX,151
48121,Denton,TX,30230
48123,De Witt,TX,276
48125,Dickens,TX,25
48127,Dimmit,TX,56
48129,Donley,TX,34
48131,Duval,TX,69
48133,Eastland,TX,279
48135,Ector,TX,2442
48137,Edwards,TX,10
48139,Ellis,TX,5286
48141,El Paso,TX,15365
48143,Erath,TX,558
48145,Falls,TX,217
48147,Fannin,TX,614
48149,Fayette,TX,319
48151,Fisher,TX,45
48153,Floyd,TX,48
48155,Foard,TX,15
48157,Fort Bend,TX,37951
48159,Franklin,TX,99
48161,Freestone,TX,269
48163,Frio,TX,48
48165,Gaines,TX,98
48167,Galveston,TX,12135
48169,Garza,TX,62
48171,Gillespie,TX,388
48173,Glasscock,TX,10
48175,Goliad,TX,90
48177,Gonzales,TX,245
48179,Gray,TX,309
48181,Grayson,TX,1833
48183,Gregg,TX,2924
48185,Grimes,TX,349
48187,Guadalupe,TX,2854
48189,Hale,TX,262
48191,Hall,TX,19
48193,Hamilton,TX,159
48195,Hansford,TX,20
48197,Hardeman,TX,52
48199,Hardin,TX,1233
48201,Harris,TX,86949
48203,Harrison,TX,990
48205,Hartley,TX,36
48207,Haskell,TX,85
48209,Hays,TX,2965
48211,Hemphill,TX,25
48213,Henderson,TX,1398
48215,Hidalgo,TX,4032
48217,Hill,TX,520
48219,Hockley,TX,269
48221,Hood,TX,1765
48223,Hopkins,TX,677
48225,Houston,TX,265
48227,Howard,TX,489
48229,Hudspeth,TX,21
48231,Hunt,TX,1634
48233,Hutchinson,TX,305
48235,Irion,TX,15
48237,Jack,TX,87
48239,Jackson,TX,143
48241,Jasper,TX,457
48243,Jeff Davis,TX,11
48245,Jefferson,TX,5272
48247,Jim Hogg,TX,30
48249,Jim Wells,TX,335
48251,Johnson,TX,3034
48253,Jones,TX,292
48255,Karnes,TX,116
48257,Kaufman,TX,2631
48259,Kendall,TX,1219
48261,Kenedy,TX,2
48263,Kent,TX,13
48265,Kerr,TX,733
48267,Kimble,TX,42
48271,Kinney,TX,21
48273,Kleberg,TX,378
48275,Knox,TX,39
48277,Lamar,TX,1065
48279,Lamb,TX,118
48281,Lampasas,TX,454
48283,La Salle,TX,29
48285,Lavaca,TX,272
48287,Lee,TX,272
48289,Leon,TX,214
48291,Liberty,TX,1163
48293,Limestone,TX,280
48295,Lipscomb,TX,26
48297,Live Oak,TX,78
48299,Llano,TX,299
48301,Loving,TX,1
48303,Lubbock,TX,2166
48305,Lynn,TX,42
48307,MCCULLOCH,TX,148
48309,MCLENNAN,TX,3699
48311,MCMULLEN,TX,6
48313,Madison,TX,124
48315,Marion,TX,149
48317,Martin,TX,5
48319,Mason,TX,22
48321,Matagorda,TX,302
48323,Maverick,TX,174
48325,Medina,TX,526
48327,Menard,TX,17
48329,Midland,TX,2801
48331,Milam,TX,480
48333,Mills,TX,51
48335,Mitchell,TX,84
48337,Montague,TX,360
48339,Montgomery,TX,6498
48341,Moore,TX,159
48343,Morris,TX,194
48345,Motley,TX,8
48347,Nacogdoches,TX,866
48349,Navarro,TX,939
48351,Newton,TX,125
48353,Nolan,TX,168
48355,Nueces,TX,6892
48357,Ochiltree,TX,78
48359,Oldham,TX,20
48361,Orange,TX,1764
48363,Palo Pinto,TX,605
48365,Panola,TX,342
48367,Parker,TX,3598
48369,Parmer,TX,61
48371,Pecos,TX,73
48373,Polk,TX,516
48375,Potter,TX,1337
48377,Presidio,TX,12
48379,Rains,TX,174
48381,Randall,TX,1788
48383,Reagan,TX,52
48385,Real,TX,38
48387,Red River,TX,225
48389,Reeves,TX,60
48391,Refugio,TX,86
48393,Roberts,TX,3
48395,Robertson,TX,163
48397,Rockwall,TX,4319
48399,Runnels,TX,148
48401,Rusk,TX,668
48403,Sabine,TX,93
48405,San Augustine,TX,98
48407,San Jacinto,TX,425
48409,San Patricio,TX,972
48411,San Saba,TX,65
48413,Schleicher,TX,31
48415,Scurry,TX,318
48417,Shackelford,TX,59
48419,Shelby,TX,417
48421,Sherman,TX,10
48423,Smith,TX,2362
48425,Somervell,TX,153
48427,Starr,TX,64
48429,Stephens,TX,157
48431,Sterling,TX,13
48433,Stonewall,TX,8
48435,Sutton,TX,17
48437,Swisher,TX,51
48439,Tarrant,TX,67833
48441,Taylor,TX,1903
48443,Terrell,TX,4
48445,Terry,TX,106
48447,Throckmorton,TX,19
48449,Titus,TX,264
48451,Tom Green,TX,1341
48453,Travis,TX,20439
48455,Trinity,TX,125
48457,Tyler,TX,278
48459,Upshur,TX,723
48461,Upton,TX,27
48463,Uvalde,TX,194
48465,Val Verde,TX,403
48467,Van Zandt,TX,904
48469,Victoria,TX,1054
48471,Walker,TX,534
48473,Waller,TX,526
48475,Ward,TX,115
48477,Washington,TX,498
48479,Webb,TX,3344
48481,Wharton,TX,447
48483,Wheeler,TX,48
48485,Wichita,TX,3331
48487,Wilbarger,TX,180
48489,Willacy,TX,62
48491,Williamson,TX,8942
48493,Wilson,TX,856
48495,Winkler,TX,87
48497,Wise,TX,1373
48499,Wood,TX,676
48501,Yoakum,TX,47
48503,Young,TX,264
48505,Zapata,TX,9
48507,Zavala,TX,35
