FIPS,County,State,Pool_Count
05112,12001  Alachua,FL,9107
12003,Baker,FL,924
12005,Bay,FL,15302
12007,Bradford,FL,816
12009,Brevard,FL,50061
12011,Broward,FL,122555
12013,Calhoun,FL,418
12015,Charlotte,FL,22336
12017,Citrus,FL,15293
12019,Clay,FL,9679
12021,Collier,FL,24721
12023,Columbia,FL,1195
12027,De Soto,FL,910
12029,Dixie,FL,334
12031,Duval,FL,32309
12033,Escambia,FL,13236
12035,Flagler,FL,10170
12037,Franklin,FL,241
12039,Gadsden,FL,803
12041,Gilchrist,FL,541
12043,Glades,FL,113
12045,Gulf,FL,383
12047,Hamilton,FL,285
12049,Hardee,FL,389
12051,Hendry,FL,349
12053,Hernando,FL,22034
12055,Highlands,FL,4896
12057,Hillsborough,FL,83527
12059,Holmes,FL,601
12061,Indian River,FL,14681
12063,Jackson,FL,899
12065,Jefferson,FL,195
12067,Lafayette,FL,161
12069,Lake,FL,19054
12071,Lee,FL,66272
12073,Leon,FL,5987
12075,Levy,FL,1717
12077,Liberty,FL,151
12079,Madison,FL,349
12081,Manatee,FL,30282
12083,Marion,FL,24444
12085,Martin,FL,17260
12086,Miami-Dade,FL,135795
12087,Monroe,FL,3514
12089,Nassau,FL,3259
12091,Okaloosa,FL,9852
12093,Okeechobee,FL,767
12095,Orange,FL,68952
12097,Osceola,FL,17034
12099,Palm Beach,FL,97512
12101,Pasco,FL,38590
12103,Pinellas,FL,86990
12105,Polk,FL,37553
12107,Putnam,FL,1741
12109,SAINT JOHNS,FL,13374
12111,SAINT LUCIE,FL,22196
12113,Santa Rosa,FL,9844
12115,Sarasota,FL,43745
12117,Seminole,FL,43549
12119,Sumter,FL,3434
12121,Suwannee,FL,1683
12123,Taylor,FL,687
12125,Union,FL,211
12127,Volusia,FL,36010
12129,Wakulla,FL,994
12131,Walton,FL,2140
12133,Washington,FL,706
