ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,5YR Churn Rate,AvgLostRevenuePerAccount,ProposedBranch,ConsolidatedArea,Source
85254,56,156,261927.14,212,73.58,1679.02,Branch 1 - North Scottsdale,Central,Phoenix
85308,41,216,348359.86,257,84.05,1612.78,Branch 6 - Glendale/West PHX,West,Phoenix
85255,39,136,233251.35,175,77.71,1715.08,Branch 1 - North Scottsdale,Central,Phoenix
85207,34,85,143486.38,119,71.43,1688.08,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85249,33,112,182517.6,145,77.24,1629.62,Branch 9 - Chandler/Gilbert South,East,Phoenix
85339,31,152,245599.88,183,83.06,1615.79,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85042,27,97,168389.52,124,78.23,1735.97,Branch 4 - Central PHX/South,Central,Phoenix
85048,27,88,148070.56,115,76.52,1682.62,Branch 8 - Tempe/Chandler West,East,Phoenix
85286,26,68,113241.98,94,72.34,1665.32,Branch 8 - Tempe/Chandler West,East,Phoenix
85018,25,119,205700.09,144,82.64,1728.57,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85028,23,95,164071.66,118,80.51,1727.07,Branch 3 - North Phoenix I-17,Central,Phoenix
85283,23,77,132957.78,100,77.0,1726.72,Branch 8 - Tempe/Chandler West,East,Phoenix
85295,23,40,66213.36,63,63.49,1655.33,Branch 9 - Chandler/Gilbert South,East,Phoenix
85296,23,73,113639.18,96,76.04,1556.7,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85234,22,62,97728.54,84,73.81,1576.27,Branch 9 - Chandler/Gilbert South,East,Phoenix
85248,22,65,108436.36,87,74.71,1668.25,Branch 9 - Chandler/Gilbert South,East,Phoenix
85259,22,104,183437.94,126,82.54,1763.83,Branch 1 - North Scottsdale,Central,Phoenix
85260,22,92,150136.32,114,80.7,1631.92,Branch 1 - North Scottsdale,Central,Phoenix
85022,21,68,116531.95,89,76.4,1713.71,Branch 3 - North Phoenix I-17,Central,Phoenix
85213,21,50,83657.81,71,70.42,1673.16,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85226,21,82,143627.76,103,79.61,1751.56,Branch 9 - Chandler/Gilbert South,East,Phoenix
85331,21,116,195662.14,137,84.67,1686.74,Branch 1 - North Scottsdale,Central,Phoenix
85383,21,120,198156.12,141,85.11,1651.3,Branch 5 - Peoria/Surprise North,West,Phoenix
85282,20,85,142313.8,105,80.95,1674.28,Branch 8 - Tempe/Chandler West,East,Phoenix
85020,19,75,126634.25,94,79.79,1688.46,Branch 4 - Central PHX/South,Central,Phoenix
85021,19,75,125490.95,94,79.79,1673.21,Branch 4 - Central PHX/South,Central,Phoenix
85284,19,92,159130.66,111,82.88,1729.68,Branch 8 - Tempe/Chandler West,East,Phoenix
85050,18,76,129636.04,94,80.85,1705.74,Branch 3 - North Phoenix I-17,Central,Phoenix
85258,18,66,108859.56,84,78.57,1649.39,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85041,17,114,196186.04,131,87.02,1720.93,Branch 4 - Central PHX/South,Central,Phoenix
85142,17,66,109581.26,83,79.52,1660.32,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85224,17,67,109730.22,84,79.76,1637.76,Branch 8 - Tempe/Chandler West,East,Phoenix
85304,17,72,119626.319999999,89,80.9,1661.48,Branch 6 - Glendale/West PHX,West,Phoenix
85053,16,53,86033.05,69,76.81,1623.27,Branch 6 - Glendale/West PHX,West,Phoenix
85085,16,59,100312.84,75,78.67,1700.22,Branch 3 - North Phoenix I-17,Central,Phoenix
85233,16,53,87162.52,69,76.81,1644.58,Branch 9 - Chandler/Gilbert South,East,Phoenix
85345,16,92,159608.84,108,85.19,1734.88,Branch 5 - Peoria/Surprise North,West,Phoenix
85029,15,73,120080.38,88,82.95,1644.94,Branch 4 - Central PHX/South,Central,Phoenix
85086,15,66,116143.56,81,81.48,1759.75,Branch 3 - North Phoenix I-17,Central,Phoenix
85212,15,50,76662.76,65,76.92,1533.26,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85338,15,77,126042.36,92,83.7,1636.91,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85340,15,59,95049.22,74,79.73,1611.0,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85257,14,63,105935.64,77,81.82,1681.52,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85266,14,39,67096.24,53,73.58,1720.42,Branch 1 - North Scottsdale,Central,Phoenix
85382,14,68,109089.87,82,82.93,1604.26,Branch 5 - Peoria/Surprise North,West,Phoenix
85032,13,88,144047.15,101,87.13,1636.9,Branch 3 - North Phoenix I-17,Central,Phoenix
85044,13,66,110005.68,79,83.54,1666.75,Branch 8 - Tempe/Chandler West,East,Phoenix
85262,13,61,102519.8,74,82.43,1680.65,Branch 1 - North Scottsdale,Central,Phoenix
