Zip Code,Area,Account Count
85018,West,25
85042,West,26
85048,West,27
85207,West,33
85234,West,22
85248,West,22
85249,West,33
85254,West,56
85255,West,39
85260,West,22
85283,West,23
85286,West,26
85295,West,23
85296,West,23
85308,West,40
85339,West,31
85383,West,21
85003,Central,6
85006,Central,4
85007,Central,3
85008,Central,4
85009,Central,3
85012,Central,6
85013,Central,5
85014,Central,9
85015,Central,9
85016,Central,9
85017,Central,1
85019,Central,3
85023,Central,11
85024,Central,10
85027,Central,8
85029,Central,15
85031,Central,1
85032,Central,13
85033,Central,1
85035,Central,6
85037,Central,6
85040,Central,2
85043,Central,4
85044,Central,13
85045,Central,5
85051,Central,8
85054,Central,2
85083,Central,6
85086,Central,15
85087,Central,3
85118,Central,2
85119,Central,2
85120,Central,3
85140,Central,8
85201,Central,4
85202,Central,9
85203,Central,11
85204,Central,5
85205,Central,9
85206,Central,5
85208,Central,1
85209,Central,11
85210,Central,7
85215,Central,7
85225,Central,12
85250,Central,8
85251,Central,7
85253,Central,8
85256,Central,1
85257,Central,14
85262,Central,12
85266,Central,14
85268,Central,8
85281,Central,7
85297,Central,11
85298,Central,9
85301,Central,5
85302,Central,9
85303,Central,7
85305,Central,5
85306,Central,7
85310,Central,13
85323,Central,10
85326,Central,5
85351,Central,1
85353,Central,5
85355,Central,8
85373,Central,5
85374,Central,4
85375,Central,1
85378,Central,2
85379,Central,11
85381,Central,9
85382,Central,14
85387,Central,2
85388,Central,13
85392,Central,10
85395,Central,13
85396,Central,12
85020,East,18
85021,East,19
85022,East,21
85028,East,20
85041,East,17
85050,East,18
85053,East,16
85085,East,16
85122,East,89
85123,East,10
85128,East,12
85131,East,6
85138,East,12
85139,East,6
85142,East,17
85143,East,5
85193,East,4
85194,East,11
85212,East,15
85213,East,21
85224,East,17
85226,East,21
85233,East,16
85258,East,18
85259,East,21
85282,East,20
85284,East,19
85304,East,17
85331,East,21
85335,East,3
85338,East,16
85340,East,15
85345,East,16
85132,Tucson,2
85143,Tucson,2
85641,Tucson,2
85653,Tucson,1
85658,Tucson,5
85704,Tucson,3
85705,Tucson,1
85706,Tucson,1
85710,Tucson,2
85711,Tucson,1
85712,Tucson,2
85715,Tucson,2
85716,Tucson,1
85718,Tucson,6
85730,Tucson,4
85737,Tucson,3
85739,Tucson,3
85741,Tucson,7
85742,Tucson,2
85743,Tucson,1
85745,Tucson,1
85746,Tucson,2
85747,Tucson,1
85749,Tucson,3
85750,Tucson,9
85755,Tucson,2
85756,Tucson,4
85757,Tucson,4
