ZIP,City,Active,Terminated,Total
85122,Casa Grande,92,330,422
85123,Arizona City,10,33,43
85128,Coolidge,12,37,49
85131,Eloy,7,9,16
85132,Florence,2,21,23
85138,Maricopa,12,74,86
85139,Maricopa,6,13,19
85143,San Tan Valley,7,52,59
85193,Casa Grande,4,6,10
85194,Casa Grande,11,40,51
85614,Green Valley,0,2,2
85629,Sahuarita,0,2,2
85641,Vail,2,11,13
85653,Marana,1,5,6
85658,Marana,5,8,13
85706,Vail,1,1,2
85713,Tucson,0,2,2
85735,Tucson,0,3,3
85739,Tucson,3,8,11
85746,Tucson,2,8,10
85747,Tucson,1,7,8
85756,Tucson,4,5,9
85757,Tucson,4,2,6
