ZipCode,Area,ActiveAccounts,TerminatedAccounts,TotalHistorical,RetentionRate,LostRevenue
85003,Central,6,28,34,17.65,44547.64
85006,Central,4,17,21,19.05,26920.96
85007,Central,3,56,59,5.08,94030.32
85008,Central,4,30,34,11.76,50821.44
85009,Central,3,10,13,23.08,23516.0
85012,Central,6,35,41,14.63,53939.44
85013,Central,5,43,48,10.42,69153.2
85014,Central,9,39,48,18.75,61150.26
85015,Central,9,39,48,18.75,59345.48
85016,Central,9,104,113,7.96,167314.43
85017,Central,1,7,8,12.5,11440.72
85018,Central,25,153,178,14.04,249984.77
85019,Central,3,15,18,16.67,24448.16
85024,Central,10,67,77,12.99,104630.92
85027,Central,8,62,70,11.43,92678.5
85031,Central,1,9,10,10.0,13688.16
85033,Central,1,30,31,3.23,46119.76
85035,Central,6,22,28,21.43,34366.36
85037,Central,6,50,56,10.71,77392.32
85040,Central,2,21,23,8.7,29985.71
85041,Central,17,142,159,10.69,230823.6
85042,Central,26,125,151,17.22,202593.72
85043,Central,4,44,48,8.33,70065.95
85044,Central,13,87,100,13.0,134144.4
85050,Central,18,107,125,14.4,163705.68
85051,Central,8,52,60,13.33,76741.9
85054,Central,2,15,17,11.76,21943.08
85201,Central,4,27,31,12.9,45124.44
85202,Central,9,45,54,16.67,65669.39
85203,Central,11,54,65,16.92,82613.8
85204,Central,5,24,29,17.24,37624.54
85205,Central,9,43,52,17.31,60900.87
85206,Central,5,11,16,31.25,16672.76
85210,Central,7,47,54,12.96,73761.62
85213,Central,21,64,85,24.71,98777.21
85250,Central,8,44,52,15.38,67545.68
85251,Central,7,46,53,13.21,74489.96
85253,Central,8,91,99,8.08,163968.96
85254,Central,56,221,277,20.22,337330.94
85255,Central,39,177,216,18.06,286291.63
85256,Central,1,1,2,50.0,1833.4
85257,Central,14,81,95,14.74,128617.08
85258,Central,18,81,99,18.18,127193.52
85259,Central,21,148,169,12.43,247564.3
85260,Central,22,122,144,15.28,186497.76
85262,Central,12,77,89,13.48,123670.44
85266,Central,14,60,74,18.92,94191.16
85281,Central,7,24,31,22.58,37381.56
85282,Central,20,104,124,16.13,163403.36
85048,East,27,121,148,18.24,189178.32
85118,East,2,27,29,6.9,44462.04
85119,East,2,20,22,9.09,34793.42
85120,East,3,4,7,42.86,4900.0
85122,East,89,0,89,100.0,0.0
85123,East,10,0,10,100.0,0.0
85128,East,12,0,12,100.0,0.0
85131,East,6,0,6,100.0,0.0
85132,East,2,0,2,100.0,0.0
85138,East,12,0,12,100.0,0.0
85139,East,6,0,6,100.0,0.0
85140,East,8,28,36,22.22,41424.76
85142,East,17,101,118,14.41,150359.58
85143,East,7,0,7,100.0,0.0
85193,East,4,0,4,100.0,0.0
85194,East,11,0,11,100.0,0.0
85207,East,33,117,150,22.0,182044.94
85208,East,1,32,33,3.03,51884.4
85209,East,11,57,68,16.18,79777.1
85212,East,15,67,82,18.29,98408.76
85215,East,7,40,47,14.89,61071.09
85224,East,17,87,104,16.35,130584.38
85225,East,12,84,96,12.5,132320.58
85226,East,21,103,124,16.94,167905.56
85233,East,16,80,96,16.67,118865.96
85234,East,22,91,113,19.47,134172.38
85248,East,22,83,105,20.95,128683.56
85249,East,33,129,162,20.37,201750.68
85268,East,8,51,59,13.56,80751.72
85283,East,23,98,121,19.01,153784.66
85284,East,19,118,137,13.87,188643.42
85286,East,26,87,113,23.01,135661.7
85295,East,23,60,83,27.71,85319.48
85296,East,23,98,121,19.01,144495.9
85297,East,11,68,79,13.92,107269.88
85298,East,9,58,67,13.43,90748.28
85641,Tucson,2,0,2,100.0,0.0
85653,Tucson,1,0,1,100.0,0.0
85658,Tucson,5,0,5,100.0,0.0
85704,Tucson,3,0,3,100.0,0.0
85705,Tucson,1,0,1,100.0,0.0
85706,Tucson,1,0,1,100.0,0.0
85710,Tucson,2,0,2,100.0,0.0
85711,Tucson,1,0,1,100.0,0.0
85712,Tucson,2,0,2,100.0,0.0
85715,Tucson,2,0,2,100.0,0.0
85716,Tucson,1,0,1,100.0,0.0
85718,Tucson,6,0,6,100.0,0.0
85730,Tucson,4,0,4,100.0,0.0
85737,Tucson,3,0,3,100.0,0.0
85739,Tucson,3,0,3,100.0,0.0
85741,Tucson,7,0,7,100.0,0.0
85742,Tucson,2,0,2,100.0,0.0
85743,Tucson,1,0,1,100.0,0.0
85745,Tucson,1,0,1,100.0,0.0
85746,Tucson,2,0,2,100.0,0.0
85747,Tucson,1,0,1,100.0,0.0
85749,Tucson,3,0,3,100.0,0.0
85750,Tucson,9,0,9,100.0,0.0
85755,Tucson,2,0,2,100.0,0.0
85756,Tucson,4,0,4,100.0,0.0
85757,Tucson,4,0,4,100.0,0.0
85020,West,18,93,111,16.22,150103.85
85021,West,19,100,119,15.97,152670.95
85022,West,21,100,121,17.36,153685.35
85023,West,11,94,105,10.48,144427.85
85028,West,20,133,153,13.07,208276.22
85029,West,15,96,111,13.51,145377.34
85032,West,13,118,131,9.92,180862.31
85045,West,5,44,49,10.2,68150.52
85053,West,16,74,90,17.78,109152.25
85083,West,6,85,91,6.59,126121.72
85085,West,16,68,84,19.05,110601.76
85086,West,15,88,103,14.56,140230.32
85087,West,3,11,14,21.43,17504.46
85301,West,5,35,40,12.5,56324.12
85302,West,9,92,101,8.91,137111.93
85303,West,7,41,48,14.58,64110.76
85304,West,17,97,114,14.91,148141.48
85305,West,5,27,32,15.62,44104.0
85306,West,7,37,44,15.91,57952.25
85308,West,40,267,307,13.03,406132.66
85310,West,13,72,85,15.29,109520.88
85323,West,10,52,62,16.13,73370.37
85326,West,5,60,65,7.69,96210.6
85331,West,21,148,169,12.43,235881.78
85335,West,3,22,25,12.0,33457.94
85338,West,16,116,132,12.12,173087.68
85339,West,31,195,226,13.72,299076.52
85340,West,15,78,93,16.13,116983.22
85345,West,16,113,129,12.4,185068.16
85351,West,1,17,18,5.56,24724.4
85353,West,5,64,69,7.25,104273.31
85355,West,8,24,32,25.0,40242.2
85373,West,5,25,30,16.67,41220.4
85374,West,4,58,62,6.45,85960.31
85375,West,1,24,25,4.0,37029.08
85378,West,2,8,10,20.0,12067.38
85379,West,11,118,129,8.53,173575.76
85381,West,9,75,84,10.71,115661.02
85382,West,14,100,114,12.28,145330.63
85383,West,21,170,191,10.99,256508.76
85387,West,2,18,20,10.0,30431.76
85388,West,13,69,82,15.85,104081.24
85392,West,10,124,134,7.46,185021.38
85395,West,13,92,105,12.38,138673.02
85396,West,12,56,68,17.65,87209.38
